snapshot		2026-09-07			
agendamento	Eduarda de Barros	2026-04-01	78	21	16091
agendamento	Eduarda de Barros	2026-05-01	85	23	19341
agendamento	Eduarda de Barros	2026-06-01	69	14	9305
agendamento	Eduarda de Barros	2026-07-01	66	14	8652
agendamento	Eduarda de Barros	2026-08-01	72	10	7523
agendamento	Eduarda de Barros	2026-09-01	16	0	0
agendamento	Giovanna Garcia	2026-04-01	120	34	26234
agendamento	Giovanna Garcia	2026-05-01	129	26	15599
agendamento	Giovanna Garcia	2026-06-01	124	28	16953
agendamento	Giovanna Garcia	2026-07-01	157	29	20894
agendamento	Giovanna Garcia	2026-08-01	155	14	8477
agendamento	Giovanna Garcia	2026-09-01	32	0	0
agendamento	Pedro Dias	2026-04-01	86	16	9544
agendamento	Pedro Dias	2026-05-01	99	20	13299
agendamento	Pedro Dias	2026-06-01	91	16	11738
agendamento	Pedro Dias	2026-07-01	107	16	9265
agendamento	Pedro Dias	2026-08-01	119	15	8762
agendamento	Pedro Dias	2026-09-01	28	0	0
agendamento	Vitória Miranda	2026-04-01	66	15	10268,67
agendamento	Vitória Miranda	2026-05-01	89	21	15198
agendamento	Vitória Miranda	2026-06-01	89	19	12195
agendamento	Vitória Miranda	2026-07-01	98	20	11869
agendamento	Vitória Miranda	2026-08-01	95	11	6378
agendamento	Vitória Miranda	2026-09-01	23	0	0
venda	Eduarda de Barros	2026-04-01		14	10475
venda	Eduarda de Barros	2026-05-01		28	22720
venda	Eduarda de Barros	2026-06-01		24	15822
venda	Eduarda de Barros	2026-07-01		16	13030
venda	Eduarda de Barros	2026-08-01		12	9373
venda	Eduarda de Barros	2026-09-01		1	599
venda	Giovanna Garcia	2026-04-01		30	23173
venda	Giovanna Garcia	2026-05-01		31	19329
venda	Giovanna Garcia	2026-06-01		27	16480
venda	Giovanna Garcia	2026-07-01		33	22930
venda	Giovanna Garcia	2026-08-01		30	20511
venda	Giovanna Garcia	2026-09-01		1	529
venda	Pedro Dias	2026-04-01		20	11991
venda	Pedro Dias	2026-05-01		22	15527
venda	Pedro Dias	2026-06-01		19	12158
venda	Pedro Dias	2026-07-01		20	13057
venda	Pedro Dias	2026-08-01		16	9021
venda	Pedro Dias	2026-09-01		5	2791
venda	Vitória Miranda	2026-04-01		15	10640
venda	Vitória Miranda	2026-05-01		29	20630,67
venda	Vitória Miranda	2026-06-01		21	13797
venda	Vitória Miranda	2026-07-01		19	11891
venda	Vitória Miranda	2026-08-01		23	13852
venda	Vitória Miranda	2026-09-01		1	505
